競馬場,競走年月日,レース番号,レース名,単勝組番,単勝払戻金（円）,単勝人気,複勝組番1,複勝払戻金1（円）,複勝人気1,複勝組番2,複勝払戻金2（円）,複勝人気2,複勝組番3,複勝払戻金3（円）,複勝人気3,枠複組番1,枠複組番2,枠複払戻金（円）,枠複人気,枠単組番1,枠単組番2,枠単払戻金（円）,枠単人気,馬複組番1,馬複組番2,馬複払戻金（円）,馬複人気1,馬単組番1,馬単組番2,馬単払戻金（円）,馬単人気1,ワイド組番1馬番1,ワイド組番1馬番2,ワイド払戻金1（円）,ワイド人気1,ワイド組番2馬番1,ワイド組番2馬番2,ワイド払戻金2（円）,ワイド人気2,ワイド組番3馬番1,ワイド組番3馬番2,ワイド払戻金3（円）,ワイド人気3,３連複組番馬番1,３連複組番馬番2,３連複組番馬番3,３連複払戻金（円）,３連複人気,３連単組番馬番1,３連単組番馬番2,３連単組番馬番3,３連単払戻金（円）,３連単人気
帯広ば,20260503,2,ＪＪエコーで手振ってて元気Ｃ２－２,8,480,2,8,150,3,1,120,1,10,130,2,1,7,430,2,,,,,1,8,540,2,8,1,1000,3,1,8,210,1,8,10,320,6,1,10,220,2,1,8,10,450,1,8,1,10,2480,4
帯広ば,20260503,3,えいと＆あおか　きたよＣ１－６,5,1140,7,5,320,6,3,130,1,7,180,4,,,,,,,,,3,5,2690,10,5,3,7810,26,3,5,670,9,5,7,1060,16,3,7,300,3,3,5,7,3750,13,5,3,7,49250,159
帯広ば,20260503,4,ＪＲ北海道ホテルズ杯Ｃ１－３・４決勝,7,230,1,7,120,1,5,150,2,1,220,6,5,7,470,1,,,,,5,7,380,1,7,5,710,1,5,7,280,2,1,7,670,11,1,5,740,12,1,5,7,1860,7,7,5,1,5400,16
帯広ば,20260503,5,しっしー彩奈さん結婚祝杯Ｂ４－１０,3,330,2,3,160,3,8,180,4,4,250,5,,,,,,,,,3,8,660,2,3,8,1540,5,3,8,260,2,3,4,520,5,4,8,570,10,3,4,8,1880,7,3,8,4,9820,34
帯広ば,20260503,6,コス痛紋別記念Ｂ４－８,5,370,2,5,150,3,6,130,2,8,120,1,,,,,,,,,5,6,550,1,5,6,1250,2,5,6,270,1,5,8,440,10,6,8,430,9,5,6,8,1090,3,5,6,8,4500,5
帯広ば,20260503,7,コメ組協同組合記念Ｂ４－２,5,290,2,5,120,2,2,110,1,6,230,4,2,5,350,1,,,,,2,5,270,1,5,2,850,3,2,5,190,1,5,6,560,9,2,6,330,3,2,5,6,1260,3,5,2,6,5340,13
帯広ば,20260503,8,辻順一の夢　まだまだ続く杯Ｂ３－４,5,180,1,5,110,1,10,120,2,2,260,6,5,8,190,1,,,,,5,10,220,1,5,10,390,1,5,10,150,1,2,5,460,7,2,10,760,13,2,5,10,1050,4,5,10,2,3360,5
帯広ば,20260503,9,りこ！当てたら付き合って！Ｂ３－２,10,410,2,10,150,2,7,120,1,3,490,9,7,8,270,1,,,,,7,10,390,1,10,7,880,2,7,10,230,1,3,10,1290,19,3,7,740,10,3,7,10,2260,8,10,7,3,9100,26
帯広ば,20260503,10,カリスマ調教師二千勝達成！Ｂ２－１,4,170,1,4,120,1,2,200,4,8,200,5,,,,,,,,,2,4,400,2,4,2,620,1,2,4,220,3,4,8,180,1,2,8,410,6,2,4,8,630,1,4,2,8,2500,2
帯広ば,20260503,11,スーパージョッキー賞３歳以上選抜別定,4,650,5,4,160,2,6,240,5,7,180,4,4,6,970,5,,,,,4,6,1310,5,4,6,2900,16,4,6,480,6,4,7,620,9,6,7,550,7,4,6,7,2820,9,4,6,7,15600,52
帯広ば,20260503,12,Ｂ２－３,4,150,1,4,110,1,6,180,4,2,390,6,,,,,,,,,4,6,420,3,4,6,560,3,4,6,240,2,2,4,370,5,2,6,1250,17,2,4,6,1520,7,4,6,2,3880,11
帯広ば,20260504,1,飛花琳＆崇獅　初誕生記念Ｃ２－１５,4,360,2,4,130,1,1,310,6,7,160,3,,,,,,,,,1,4,1990,9,4,1,2930,13,1,4,560,8,4,7,330,2,1,7,660,12,1,4,7,3060,14,4,1,7,16950,69
帯広ば,20260504,2,２歳新馬,10,2340,8,10,490,8,8,180,3,2,110,1,7,8,1000,4,,,,,8,10,3400,14,10,8,8630,31,8,10,880,14,2,10,820,13,2,8,220,1,2,8,10,1850,6,10,8,2,23870,70
帯広ば,20260504,3,藤本匠調教師　祝初勝利！Ｃ２－１３,9,520,2,9,130,2,6,120,1,8,300,8,6,8,620,1,,,,,6,9,750,2,9,6,2100,4,6,9,350,1,8,9,730,10,6,8,590,6,6,8,9,3140,10,9,6,8,14810,34
帯広ば,20260504,4,紫苑、誕生日おめでとう記念Ｃ２－８,9,290,1,9,110,1,6,230,5,7,160,3,6,8,1170,3,,,,,6,9,1560,6,9,6,2430,9,6,9,490,5,7,9,260,1,6,7,630,11,6,7,9,1280,2,9,6,7,7640,16
帯広ば,20260504,5,第４５回落合大輔誕生日記念Ｃ１－８,2,350,1,2,180,2,6,180,1,,,,,,,,,,,,2,6,580,2,2,6,1050,3,2,6,250,3,2,7,320,4,6,7,330,6,2,6,7,1220,4,2,6,7,5350,13
帯広ば,20260504,6,ぶいすぽ如月れん生誕記念杯Ｃ１－１・２決勝,8,120,1,8,100,1,10,170,2,1,460,8,7,8,310,1,,,,,8,10,320,1,8,10,310,1,8,10,220,1,1,8,800,9,1,10,3430,35,1,8,10,4630,16,8,10,1,6760,17
帯広ば,20260504,7,マリちゃん誕生日記念Ｂ４－１１,6,2210,6,6,200,4,4,100,1,3,100,2,4,6,2650,7,,,,,4,6,1380,3,6,4,3820,11,4,6,370,4,3,6,410,6,3,4,140,1,3,4,6,500,1,6,4,3,13990,41
帯広ば,20260504,8,戸井田利雄誕生日記念杯Ｂ４－１,2,370,2,2,150,2,1,240,3,,,,,,,,,,,,1,2,870,4,2,1,1150,4,1,2,200,3,2,3,160,2,1,3,150,1,1,2,3,310,1,2,1,3,2690,7
帯広ば,20260504,9,山田睦美記念Ｂ３－７混合,5,150,1,5,120,1,7,320,6,6,950,8,5,7,2310,8,,,,,5,7,1670,6,5,7,2570,8,5,7,490,6,5,6,880,10,6,7,3360,27,5,6,7,8330,25,5,7,6,28800,83
帯広ば,20260504,10,将太とあゆみの結婚記念。Ｂ３－１,7,140,1,7,100,1,8,120,2,3,160,4,7,8,390,2,,,,,7,8,440,2,7,8,440,1,7,8,190,1,3,7,200,2,3,8,390,6,3,7,8,700,1,7,8,3,2080,1
帯広ば,20260504,11,菖蒲特別Ａ２－１混合,6,260,2,6,120,2,4,120,1,9,170,5,4,6,610,2,,,,,4,6,510,1,6,4,1080,1,4,6,210,1,6,9,370,4,4,9,260,2,4,6,9,1090,2,6,4,9,4470,5
帯広ば,20260504,12,Ｂ４－３,6,480,2,6,130,2,3,100,1,4,220,6,3,6,240,1,,,,,3,6,250,1,6,3,680,3,3,6,160,1,4,6,1020,15,3,4,440,6,3,4,6,1700,5,6,3,4,7240,21
帯広ば,20260509,1,ポン様ご結婚おめでとう記念Ｃ１－５,4,670,4,4,180,3,2,290,5,3,490,8,2,4,1740,10,,,,,2,4,1390,5,4,2,3090,13,2,4,630,8,3,4,350,1,2,3,1450,23,2,3,4,4840,19,4,2,3,18090,55
帯広ば,20260509,2,敦美ちゃん還暦お祝い記念Ｃ２－１５,9,560,2,9,220,5,7,120,1,5,200,4,7,8,600,1,,,,,7,9,1020,4,9,7,2110,9,7,9,390,5,5,9,460,7,5,7,250,1,5,7,9,1080,3,9,7,5,11070,42
帯広ば,20260509,3,奇跡の４５！横山くん誕生祭Ｃ２－１０,6,730,4,6,250,4,2,160,3,9,140,2,2,6,940,4,,,,,2,6,1020,4,6,2,2000,7,2,6,350,4,6,9,560,8,2,9,230,1,2,6,9,850,2,6,2,9,8010,16
帯広ば,20260509,4,令和８年たかよさん米寿記念Ｃ２－７,8,330,2,8,180,3,1,130,2,2,300,5,1,7,410,1,,,,,1,8,330,1,8,1,560,1,1,8,180,1,2,8,590,7,1,2,540,5,1,2,8,1350,2,8,1,2,4160,9
帯広ば,20260509,5,プリンセス葵乃・来場記念Ｃ１－１,4,230,1,4,130,1,8,220,3,1,880,9,4,7,740,3,,,,,4,8,840,3,4,8,1380,4,4,8,360,3,1,4,1620,23,1,8,4290,37,1,4,8,8980,34,4,8,1,28000,98
帯広ば,20260509,6,祝！安真之介　２４歳Ｂ４－５,1,1640,5,1,270,5,6,120,2,9,120,1,1,6,2670,10,,,,,1,6,5340,17,1,6,11350,26,1,6,880,11,1,9,490,5,6,9,270,3,1,6,9,2640,9,1,6,9,42300,123
帯広ば,20260509,7,向井純葉２０歳の誕生日記念Ｂ４－４,5,880,4,5,180,4,7,130,1,6,130,2,5,7,890,4,,,,,5,7,1690,4,5,7,6220,24,5,7,660,10,5,6,420,4,6,7,220,2,5,6,7,1220,2,5,7,6,20080,65
帯広ば,20260509,8,やすしん君　もういっちょ杯Ｂ４－２,10,250,1,10,120,2,4,110,1,2,130,3,4,8,650,3,,,,,4,10,480,1,10,4,760,1,4,10,200,2,2,10,180,1,2,4,370,6,2,4,10,740,1,10,4,2,3370,6
帯広ば,20260509,9,スナックＴＩＡＲＡ１０周年Ｂ３－５,4,1990,7,4,390,8,6,180,2,7,300,5,4,6,6430,21,,,,,4,6,4520,19,4,6,12960,45,4,6,1190,17,4,7,1790,24,6,7,1190,18,4,6,7,12080,41,4,6,7,98110,280
帯広ば,20260509,10,東京からきたよ関英明杯８４Ｂ２－１,7,920,4,7,230,5,8,490,6,5,160,2,7,7,10770,21,,,,,7,8,12860,26,7,8,25920,45,7,8,2750,23,5,7,600,6,5,8,1510,17,5,7,8,16250,42,7,8,5,158900,310
帯広ば,20260509,11,とかち皐月賞３歳オープン別定,8,1310,6,8,240,6,2,230,5,6,110,1,2,7,8690,26,,,,,2,8,6910,23,8,2,18960,53,2,8,1750,23,6,8,400,4,2,6,550,5,2,6,8,3740,15,8,2,6,52530,168
帯広ば,20260509,12,Ｂ１－１,4,570,3,4,280,4,2,1960,10,5,840,9,2,4,13700,28,,,,,2,4,17530,39,4,2,19660,65,2,4,4590,40,4,5,2390,28,2,5,7490,42,2,4,5,90980,116,4,2,5,298890,574
帯広ば,20260510,1,良樹４９才絶好調！誕生日杯Ｃ１－４,1,1100,5,1,160,4,7,130,2,9,130,1,1,7,1470,6,,,,,1,7,1920,7,1,7,2760,10,1,7,360,3,1,9,290,2,7,9,290,1,1,7,9,1630,3,1,7,9,9800,25
帯広ば,20260510,2,春花＆崇充ご結婚記念Ｃ２－１１,2,140,1,2,100,1,4,250,4,3,330,7,2,4,820,3,,,,,2,4,1170,5,2,4,960,5,2,4,480,5,2,3,270,4,3,4,1180,15,2,3,4,2030,11,2,4,3,5430,21
帯広ば,20260510,3,コスノ宴Ｃ２－８,1,260,2,1,130,1,8,330,5,7,270,4,1,8,730,2,,,,,1,8,1510,6,1,8,1930,6,1,8,480,7,1,7,420,6,7,8,1080,14,1,7,8,2590,9,1,8,7,7360,20
帯広ば,20260510,4,ブレイクスルー伊藤純平生誕Ｃ２－５,3,250,1,3,160,3,4,200,5,9,200,4,3,4,980,4,,,,,3,4,550,1,3,4,1030,2,3,4,310,2,3,9,380,3,4,9,1080,15,3,4,9,1800,5,3,4,9,6170,9
帯広ば,20260510,5,第２回　西井賞Ｃ１－２,4,620,4,4,170,3,3,230,4,7,130,1,3,4,2830,13,,,,,3,4,2240,9,4,3,4210,16,3,4,700,9,4,7,390,3,3,7,540,7,3,4,7,2490,8,4,3,7,21070,73
帯広ば,20260510,6,祝てるぞう５６５８お誕生日Ｂ４－６,4,270,1,4,150,2,1,360,6,5,460,7,1,4,1820,8,,,,,1,4,2060,7,4,1,2880,12,1,4,630,7,4,5,1330,18,1,5,1950,26,1,4,5,14680,47,4,1,5,46370,174
帯広ば,20260510,7,第５７回　かずひろ記念Ｂ４－３,2,410,2,2,130,2,1,200,5,8,110,1,1,2,1430,5,,,,,1,2,1140,5,2,1,2050,8,1,2,410,6,2,8,230,2,1,8,210,1,1,2,8,780,1,2,1,8,5830,14
帯広ば,20260510,8,明＆鷲見ファミリー旅行記念Ａ１－２,2,300,2,2,120,1,8,150,3,3,270,6,,,,,,,,,2,8,660,2,2,8,1160,4,2,8,420,5,2,3,530,7,3,8,900,14,2,3,8,2360,10,2,8,3,7800,23
帯広ば,20260510,9,～美浦村から～初観戦記念Ｂ３－７,4,290,2,4,140,2,3,110,1,6,390,7,3,4,460,1,,,,,3,4,370,1,4,3,740,1,3,4,190,1,4,6,1060,15,3,6,740,11,3,4,6,2240,7,4,3,6,9120,28
帯広ば,20260510,10,一条莉々華生誕記念限界飯杯Ｂ２－４,3,1360,5,3,590,6,2,190,3,,,,,,,,,,,,2,3,1720,7,3,2,5620,21,2,3,350,5,3,7,500,8,2,7,200,1,2,3,7,940,3,3,2,7,17080,71
帯広ば,20260510,11,"第１９回 カーネーションカップ３歳以上牝馬オープン別定",5,480,2,5,120,2,6,110,1,1,330,6,5,6,170,1,,,,,5,6,240,1,5,6,910,4,5,6,150,1,1,5,570,9,1,6,340,4,1,5,6,970,3,5,6,1,4180,12
帯広ば,20260510,12,Ｂ３－１,7,800,4,7,160,3,5,100,1,9,110,2,5,7,720,2,,,,,5,7,1010,3,7,5,2020,8,5,7,350,3,7,9,610,9,5,9,190,1,5,7,9,1000,3,7,5,9,8330,18
帯広ば,20260511,1,第１０回弁護士大平雄介記念Ｃ１－７,6,430,3,6,150,3,4,160,4,7,120,1,,,,,,,,,4,6,1630,7,6,4,2720,11,4,6,430,7,6,7,200,2,4,7,270,3,4,6,7,990,3,6,4,7,8750,32
帯広ば,20260511,2,辻川桜さん生誕記念Ｃ２－１７,3,470,4,3,150,3,6,160,5,7,140,2,,,,,,,,,3,6,1580,9,3,6,2440,14,3,6,400,7,3,7,320,5,6,7,510,9,3,6,7,1690,7,3,6,7,9090,33
帯広ば,20260511,3,キリエ生誕祭Ｃ２－１２,7,670,3,7,190,3,2,130,1,1,260,7,2,7,620,2,,,,,2,7,1040,3,7,2,2110,8,2,7,260,2,1,7,680,10,1,2,700,11,1,2,7,2920,13,7,2,1,14580,46
帯広ば,20260511,4,ＸＩＡＯ　ＭＩ　Ｍ　記念杯Ｃ２－２,7,210,1,7,100,1,3,560,8,2,280,6,3,7,3090,11,,,,,3,7,3640,16,7,3,6440,25,3,7,1510,20,2,7,270,1,2,3,3360,36,2,3,7,7480,29,7,3,2,39070,153
帯広ば,20260511,5,稲垣成弥３６歳生誕記念杯Ｃ１－３,3,380,2,3,220,4,2,150,1,4,360,7,2,3,490,1,,,,,2,3,380,1,3,2,970,2,2,3,230,1,3,4,850,10,2,4,670,9,2,3,4,1620,5,3,2,4,5550,11
帯広ば,20260511,6,チアキング生誕ＪＰＹ杯１６Ｂ４－７,3,640,3,3,160,3,8,110,1,4,110,2,3,8,370,2,,,,,3,8,500,2,3,8,1540,5,3,8,250,2,3,4,360,6,4,8,200,1,3,4,8,690,2,3,8,4,4710,12
帯広ば,20260511,7,第６回まいたけカップＢ４－１,4,160,1,4,100,1,7,150,4,3,140,2,4,7,780,5,,,,,4,7,1010,5,4,7,770,4,4,7,380,6,3,4,230,2,3,7,960,12,3,4,7,1420,7,4,7,3,3440,13
帯広ば,20260511,8,かんなちゃん生誕祭２０２６Ｂ３－４,4,340,1,4,140,1,6,190,4,9,140,2,4,6,720,2,,,,,4,6,940,4,4,6,1230,1,4,6,390,4,4,9,520,6,6,9,300,2,4,6,9,1340,3,4,6,9,6340,12
帯広ば,20260511,9,メゴドルくらり生誕ウィークＢ３－２,7,150,1,7,100,1,5,120,2,2,200,5,5,7,280,1,,,,,5,7,260,1,7,5,380,1,5,7,140,1,2,7,320,3,2,5,550,9,2,5,7,860,2,7,5,2,1900,1
帯広ば,20260511,10,アオサギ賞Ｂ２－２,4,470,2,4,170,4,7,120,1,3,350,7,4,7,370,1,,,,,4,7,380,1,4,7,1060,2,4,7,190,1,3,4,640,10,3,7,490,7,3,4,7,1030,2,4,7,3,4030,5
帯広ば,20260511,11,さつき特別オープン,3,280,1,3,110,1,2,270,6,4,160,3,,,,,,,,,2,3,1540,4,3,2,2000,7,2,3,490,6,3,4,240,2,2,4,670,11,2,3,4,1630,5,3,2,4,8690,30
帯広ば,20260511,12,シマリス賞Ａ２－２混合,6,350,2,6,110,1,1,140,2,,,,,,,,,,,,1,6,460,1,6,1,1000,2,1,6,160,1,5,6,270,3,1,5,270,4,1,5,6,720,3,6,1,5,3070,7
帯広ば,20260516,1,１億５千突破！　表屋記念杯Ｃ２－１３,2,330,2,2,110,2,5,100,1,1,160,4,2,5,310,1,,,,,2,5,260,1,2,5,700,2,2,5,160,1,1,2,650,6,1,5,580,5,1,2,5,1650,3,2,5,1,4580,10
帯広ば,20260516,2,２歳新馬,2,160,1,2,100,1,4,130,2,6,260,7,2,4,290,1,,,,,2,4,260,1,2,4,400,1,2,4,190,1,2,6,420,7,4,6,480,8,2,4,6,1080,4,2,4,6,2790,3
帯広ば,20260516,3,２歳新馬,1,160,1,1,100,1,9,320,6,5,200,5,1,8,760,4,,,,,1,9,2110,6,1,9,3840,11,1,9,860,13,1,5,240,2,5,9,1590,17,1,5,9,5110,18,1,9,5,19010,61
帯広ば,20260516,4,おもてやくん今期もやるぞ杯Ｃ２－６,8,210,1,8,110,2,4,110,1,3,400,8,4,8,140,1,,,,,4,8,150,1,8,4,370,2,4,8,110,1,3,8,2140,21,3,4,1590,18,3,4,8,3330,8,8,4,3,8760,24
帯広ば,20260516,5,Ｃ２－４,9,170,1,9,110,1,3,150,4,1,150,3,3,8,510,2,,,,,3,9,490,1,9,3,720,1,3,9,180,1,1,9,240,3,1,3,290,4,1,3,9,760,3,9,3,1,2310,2
帯広ば,20260516,6,Ｃ１－３・４決勝,3,220,1,3,140,2,8,120,1,6,210,5,3,7,260,1,,,,,3,8,290,1,3,8,450,1,3,8,150,1,3,6,520,7,6,8,640,11,3,6,8,1380,4,3,8,6,4520,10
帯広ば,20260516,7,東山誕生記念Ｂ４－８,1,1210,4,1,230,4,2,120,1,9,470,6,1,2,990,4,,,,,1,2,1850,6,1,2,5120,16,1,2,450,4,1,9,2770,24,2,9,780,10,1,2,9,6880,24,1,2,9,62370,138
帯広ば,20260516,8,天翔る天馬生誕記念Ｂ４－３,3,430,2,3,120,2,2,100,1,1,170,4,2,3,290,1,,,,,2,3,270,1,3,2,680,2,2,3,130,1,1,3,240,3,1,2,230,2,1,2,3,360,1,3,2,1,1840,4
帯広ば,20260516,9,しみじみしじみ杯Ｂ３－３,9,1030,5,9,390,5,5,280,4,8,220,3,5,8,2830,13,,,,,5,9,4320,18,9,5,11420,42,5,9,1410,19,8,9,1840,23,5,8,860,11,5,8,9,8760,34,9,5,8,68540,220
帯広ば,20260516,10,函館けいりんコラボ開催中Ｂ２－１・２決勝,3,780,5,3,260,6,9,170,2,1,240,5,3,8,1230,4,,,,,3,9,2120,11,3,9,5050,25,3,9,700,10,1,3,900,13,1,9,650,9,1,3,9,5600,22,3,9,1,36410,137
帯広ば,20260516,11,つつじ特別Ａ２－１,9,1240,4,9,250,4,3,180,2,10,670,8,3,8,2690,8,,,,,3,9,3040,9,9,3,6560,15,3,9,830,9,9,10,2350,23,3,10,1450,16,3,9,10,18970,48,9,3,10,87830,203
帯広ば,20260516,12,Ｂ４－１,1,260,1,1,160,2,2,790,8,9,190,4,1,2,4400,14,,,,,1,2,4360,15,1,2,6550,25,1,2,1160,13,1,9,370,3,2,9,2930,28,1,2,9,8600,32,1,2,9,51960,176
帯広ば,20260517,1,実穂さんいつもありがとう杯Ｃ２－１６,3,360,1,3,100,1,7,220,6,4,160,2,3,7,2260,13,,,,,3,7,1620,8,3,7,3320,14,3,7,490,6,3,4,320,2,4,7,650,11,3,4,7,1860,5,3,7,4,14170,43
帯広ば,20260517,2,２歳新馬,1,140,1,1,100,2,6,100,1,2,230,6,1,6,370,2,,,,,1,6,330,1,1,6,380,1,1,6,170,1,1,2,240,3,2,6,590,9,1,2,6,650,2,1,6,2,1700,2
帯広ば,20260517,3,２歳新馬,7,1180,6,7,270,4,3,430,7,1,170,3,3,7,5690,20,,,,,3,7,10830,22,7,3,23670,48,3,7,1340,20,1,7,460,5,1,3,580,7,1,3,7,4590,21,7,3,1,66000,201
帯広ば,20260517,4,えのき家今年も来場記念２６Ｃ２－９,6,220,2,6,120,2,5,100,1,2,140,3,5,6,170,1,,,,,5,6,160,1,6,5,370,2,5,6,130,1,2,6,240,3,2,5,210,2,2,5,6,260,1,6,5,2,920,2
帯広ば,20260517,5,友里、石橋をたたいて渡れＣ２－１,6,170,1,6,130,1,5,540,8,4,140,2,5,6,4560,13,,,,,5,6,4710,12,6,5,7140,17,5,6,1380,17,4,6,210,2,4,5,2270,23,4,5,6,4290,15,6,5,4,23220,69
帯広ば,20260517,6,Ｃ１－６,3,340,1,3,180,1,5,190,2,6,490,8,3,5,2190,10,,,,,3,5,2460,10,3,5,5410,24,3,5,890,14,3,6,790,13,5,6,1200,20,3,5,6,6810,33,3,5,6,31560,146
帯広ば,20260517,7,父有弘爆誕祭Ｂ４－１０,8,300,1,8,160,4,4,150,3,5,130,1,4,8,930,5,,,,,4,8,1380,7,8,4,2210,10,4,8,370,5,5,8,320,4,4,5,300,3,4,5,8,1130,3,8,4,5,6020,16
帯広ば,20260517,8,純奈ＡＴＭ往復記念Ｂ４－４,10,390,2,10,130,1,3,200,5,1,140,2,3,8,1130,6,,,,,3,10,1270,8,10,3,1730,5,3,10,450,7,1,10,370,4,1,3,570,11,1,3,10,1710,6,10,3,1,8160,22
帯広ば,20260517,9,たこ焼き大好きケンケン杯Ｂ３－６,9,820,5,9,200,5,3,130,1,1,330,6,3,8,600,1,,,,,3,9,1040,4,9,3,3120,15,3,9,460,6,1,9,1320,19,1,3,720,11,1,3,9,3060,11,9,3,1,14370,45
帯広ば,20260517,10,函館競輪開設７６周年記念Ｂ３－１・２決勝,4,230,1,4,120,2,5,150,3,2,300,6,,,,,,,,,4,5,510,2,4,5,1300,4,4,5,320,3,2,4,540,9,2,5,840,12,2,4,5,2190,9,4,5,2,7270,23
帯広ば,20260517,11,スーパートレーナー賞３歳以上選抜別定,1,830,4,1,190,3,8,440,7,7,210,4,1,7,1760,8,,,,,1,8,5910,19,1,8,12100,38,1,8,1730,19,1,7,620,8,7,8,1360,18,1,7,8,6820,28,1,8,7,48410,162
帯広ば,20260517,12,Ｂ１－２,3,470,3,3,150,2,2,210,5,9,130,1,2,3,2230,11,,,,,2,3,2320,10,3,2,3480,13,2,3,680,11,3,9,260,2,2,9,470,5,2,3,9,2290,7,3,2,9,13040,44
帯広ば,20260518,1,さかだ裕子☆ばん馬大好き３Ｃ２－１４,6,1390,7,6,310,8,7,270,6,9,150,1,6,7,2820,13,,,,,6,7,5380,26,6,7,8810,46,6,7,2310,32,6,9,1010,18,7,9,890,16,6,7,9,12150,51,6,7,9,130000,401
帯広ば,20260518,2,２歳新馬,5,110,1,5,100,1,4,250,5,6,110,2,4,5,840,3,,,,,4,5,580,3,5,4,840,4,4,5,290,4,5,6,160,1,4,6,1040,16,4,5,6,1080,4,5,4,6,3340,9
帯広ば,20260518,3,２歳新馬,6,130,1,6,110,1,5,240,4,1,870,8,5,6,610,3,,,,,5,6,500,2,6,5,880,4,5,6,370,4,1,6,860,10,1,5,2470,27,1,5,6,7620,24,6,5,1,13920,50
