競馬場,競走年月日,レース番号,枠番,帽色,馬番,馬名,性,齢,毛色,生年月日,父馬名,母馬名,母父馬名,騎手名,騎手所属,負担重量,騎手成績,調教師,調教師所属,馬主氏名,生産牧場名,馬体重,馬体重増減,全成績,ダート左成績,ダート右成績,当競馬場成績,うち当距離成績,最高タイム,最高タイム良馬場,着順,タイム,着差,上がり3F,人気
帯広ば,20260502,3,5,黄,5,ガッツワン,牡,3,鹿毛,20230505,ジェイワン,ジェイルース,ミタコトナイ,菊池一,ばんえい,570,2-1-1-0,田上忠,ばんえい,小森唯永,小森唯永,888,+14,4-2-2-12,,,4-2-2-12,4-2-2-12,1:41.7,良1:49.7,3,1528,,,6
帯広ば,20260502,3,6,緑,6,ホクセイソウリ,牡,3,芦毛,20230319,フジダイビクトリー,タケノオシン,コマローレンス,今井千,ばんえい,☆560,0-1-0-1,今井茂,ばんえい,（有）竹内産業,（株）キューサンファーム,1012,-13,4-5-0-9,,,4-5-0-9,4-5-0-9,1:28.5,良1:49.3,1,1467,,,2
帯広ば,20260502,3,7,橙,7,ホクセイキレイズキ,牝,3,鹿毛,20230429,ミタコトナイ,ゴージャスブラック,カネサブラック,鈴木恵,ばんえい,550,3-1-2-5,金山明,ばんえい,（有）竹内産業,（株）キューサンファーム,1029,-3,3-1-2-10,,,3-1-2-10,3-1-2-10,1:40.4,良1:41.7,2,1472,,,1
帯広ば,20260502,3,7,橙,8,ジェイワールド,牡,3,鹿毛,20230517,コウシュハウンカイ,アバシリルビー,カネサブラック,阿部優,ばんえい,☆560,1-0-1-1,金山明,ばんえい,小森唯永,小森唯永,1024,+2,3-3-2-14,,,3-3-2-14,3-3-2-14,1:41.1,良1:54.0,5,1573,,,9
帯広ば,20260502,3,8,桃,9,ワフラーム,牝,3,鹿毛,20230417,キタノイチタロウ,"琴 姫",オノショウ,長澤幸,ばんえい,550,4-1-0-15,服部義,ばんえい,鈴木正浩,西村英之,867,,4-1-1-17,,,4-1-1-17,4-1-1-17,1:25.7,良2:03.5,9,2132,,,10
帯広ば,20260502,3,8,桃,10,ツカサコタロウ,牡,3,栗毛,20230514,ホクショウメジャー,ユメチオ,カネサテンリュウ,西謙一,ばんえい,570,2-1-1-2,大河和,ばんえい,川口晋司,村上昭一,976,-3,3-1-3-14,,,3-1-3-14,3-1-3-14,1:38.2,良2:17.6,10,2206,,,8
帯広ば,20260502,4,1,白,1,ジェイキングダム,牡,4,鹿毛,20220605,フジカチドキ,ユメカ,ツルマキシンザン,赤塚健,ばんえい,580,6-2-5-25,小北栄,ばんえい,小森唯永,松井紀行,983,+6,6-3-5-30,,,6-3-5-30,6-3-5-30,1:58.6,良2:01.9,7,2020,,,8
帯広ば,20260502,4,2,黒,2,エレジー,牝,4,栗毛,20220331,フジダイビクトリー,ゴウカイレディ,ライデンロック,中原蓮,ばんえい,☆550,1-0-0-6,金田勇,ばんえい,北野朋希,（株）金福畜産,1011,+23,6-6-3-26,,,6-6-3-26,6-6-3-26,1:47.5,良1:51.9,4,1525,,,5
帯広ば,20260502,4,3,赤,3,ツガルケッパレフジ,牡,4,鹿毛,20220315,スピードフジ,"照 姫",ヤマトゼンシン,島津新,ばんえい,580,1-0-0-6,長部幸,ばんえい,葛西一郎,守屋弘子,1090,-2,5-4-5-28,,,5-4-5-28,5-4-5-28,1:35.8,良1:50.6,1,1426,,,7
帯広ば,20260502,4,4,青,4,マツサンブラック,牝,4,青毛,20220513,ジェイワン,ジェイガーベラ,ミスタートカチ,鈴木恵,ばんえい,560,6-2-2-11,槻舘重,ばんえい,松井紀行,小森唯永,994,-8,7-2-4-31,,,7-2-4-31,7-2-4-31,1:36.7,良1:42.8,5,1541,,,2
帯広ば,20260502,4,5,黄,5,ビエイニトドケ,牡,4,鹿毛,20220330,ホンインボウ,ビエイネーチャン,アローファイター,長澤幸,ばんえい,580,6-5-1-28,服部義,ばんえい,佐藤邦彦,新津良明,972,-14,6-5-2-33,,,6-5-2-33,6-5-2-33,1:47.8,良1:56.9,3,1494,,,4
帯広ば,20260502,4,6,緑,6,ジェイノミキ,牝,4,栗毛,20220408,オレノココロ,メムロコマチ,ニシキロード,大友一,ばんえい,☆550,0-0-0-0,松田道,ばんえい,小森唯永,小森唯永,994,+2,4-7-5-27,,,4-7-5-27,4-7-5-27,1:29.7,良1:29.7,2,1455,,,1
帯広ば,20260502,4,7,橙,7,ツルイコトカゼ,牡,4,鹿毛,20220510,ツルイテンリュウ,"琴 風",アアモンドケイジ,渡来心,ばんえい,580,2-2-7-25,大河和,ばんえい,田中稔,田中光儀,964,+6,5-4-9-29,,,5-4-9-29,5-4-9-29,1:31.6,良1:31.6,8,2289,,,3
帯広ば,20260502,4,8,桃,8,トモコ,牝,4,鹿毛,20220426,カクセンキング,コマクイン,フジエーカン,金田利,ばんえい,560,2-7-3-12,金田勇,ばんえい,加納友喜,加納友喜,1069,-3,4-10-6-23,,,4-10-6-23,4-10-6-23,1:26.8,良1:26.8,6,1545,,,6
帯広ば,20260502,5,1,白,1,ハゴロモライルズ,牡,3,青毛,20230515,コウシュハウンカイ,レディパシュート,カネサブラック,西謙一,ばんえい,580,1-1-0-4,金山明,ばんえい,井上修,秋葉英樹,1058,-17,3-3-4-12,,,3-3-4-12,3-3-4-12,1:34.3,良2:07.5,5,1596,,,6
帯広ば,20260502,5,2,黒,2,ブラックバカラ,牝,4,青毛,20220429,マルニセンプー,"春 華",ウンカイ,西将太,ばんえい,560,1-0-0-0,西弘美,ばんえい,宍戸泰之,和田智志,1009,+6,5-6-5-28,,,5-6-5-28,5-6-5-28,1:47.3,良1:49.3,2,1518,,,2
帯広ば,20260502,5,3,赤,3,スカイノチカラ,牝,4,鹿毛,20220118,フジダイビクトリー,ハルノイブキ,カネサブラック,長澤幸,ばんえい,560,4-2-2-20,小北栄,ばんえい,赤麿秀人,加藤芳枝,1045,-7,6-2-3-31,,,6-2-3-31,6-2-3-31,1:41.0,良1:41.0,7,2046,,,8
帯広ば,20260502,5,4,青,4,サトノブレイカー,牡,3,鹿毛,20230220,レットダイヤ,カゲチドリ,ロイヤルタイトル,金田利,ばんえい,580,1-1-1-4,金田勇,ばんえい,佐藤岑夫,佐藤岑夫,1043,,4-1-3-9,,,4-1-3-9,4-1-3-9,1:16.2,良1:16.2,6,2017,,,5
帯広ば,20260502,5,5,黄,5,スターノチカラ,牡,3,鹿毛,20230305,イノリノチカラ,スーパープリンセス,ニシキダイジン,鈴木恵,ばんえい,580,0-0-0-0,服部義,ばんえい,赤麿秀人,（株）金福畜産,1045,+11,2-5-5-11,,,2-5-5-11,2-5-5-11,1:14.3,良1:14.3,1,1358,,,1
帯広ば,20260502,5,6,緑,6,フクノハレルヤ,牝,4,鹿毛,20220405,フクノカミカゼ,ブレークスルー,カネサブラック,大友一,ばんえい,☆550,2-2-0-9,服部義,ばんえい,安藤浩太朗,鈴木義尚,1046,+31,6-6-1-23,,,6-6-1-23,6-6-1-23,1:25.5,良1:25.5,3,1547,,,7
帯広ば,20260502,5,7,橙,7,スターメジャー,牡,4,栗毛,20220421,ニシキエーカン,フクサクアザミ,ウンカイ,船山蔵,ばんえい,580,0-0-0-4,小北栄,ばんえい,早崎正人,芝桜高橋牧場,977,+21,6-3-3-26,,,6-3-3-26,6-3-3-26,1:41.9,良1:52.6,8,2070,,,4
帯広ば,20260502,5,8,桃,8,サクラジェームス,セン,4,栗毛,20220425,スギノハリアー,サクラユウシュン,ウンカイ,渡来心,ばんえい,580,3-0-1-5,金山明,ばんえい,川端幸子,川端幸子,981,-2,8-3-3-25,,,8-3-3-25,8-3-3-25,1:35.7,良1:39.2,4,1568,,,3
帯広ば,20260502,6,1,白,1,ジェイエクスプレス,牡,4,鹿毛,20220308,ジェイワン,ジェイテン,トウリュウ,金田利,ばんえい,590,7-0-4-13,松井浩,ばんえい,小森唯永,小森唯永,975,+4,9-3-7-28,,,9-3-7-28,9-3-7-28,1:34.8,良1:34.8,2,1483,,,1
帯広ば,20260502,6,2,黒,2,ヒカリファイヤー,牡,10,鹿毛,20160406,カネサブラック,ウィナーカレン,キタノコウテイ,松本秀,ばんえい,600,0-0-1-5,田上忠,ばんえい,大阪武,松田肇,966,+12,22-20-25-148,,,22-20-25-148,22-20-25-148,1:28.5,良1:40.7,5,2043,,,9
帯広ば,20260502,6,3,赤,3,ヨシノヒーロー,牡,9,鹿毛,20170515,インフィニティー,天竜姫,ダイヤテンリユウ,船山蔵,ばんえい,600,11-10-13-75,田上忠,ばんえい,（株）大阪畜産,播静雄,1048,+8,17-12-18-128,,,17-12-18-128,17-12-18-128,1:29.9,良1:39.0,4,1567,,,7
帯広ば,20260502,6,4,青,4,ハヤブサ,牡,5,鹿毛,20210406,テルシゲ,カツラミライ,コーネル,村上章,ばんえい,600,0-1-0-0,大河和,ばんえい,野村久,岩瀬正実,1101,-10,7-3-15-48,,,7-3-15-48,7-3-15-48,1:32.9,良1:32.9,9,2300,,,5
帯広ば,20260502,6,5,黄,5,サカノキンザン,牡,8,栗毛,20180412,ホリセンショウ,ツバサ,トウリュウ,中山直,ばんえい,600,0-1-1-12,田上忠,ばんえい,（株）大阪畜産,三宮久蔵,1002,-1,12-18-13-100,,,12-18-13-100,12-18-13-100,1:05.5,良1:45.8,7,2151,,,8
帯広ば,20260502,6,6,緑,6,ジェイサンダー,牡,7,青毛,20190510,カネサテンリュウ,キタミリキヒメ,ブレーブファイター,西謙一,ばんえい,600,3-0-3-11,西邑春,ばんえい,小森唯永,大内実,1026,-22,13-12-21-83,,,13-12-21-83,13-12-21-83,0:48.6,良1:30.1,6,2047,,,6
帯広ば,20260502,6,7,橙,7,ホクセイマリン,牝,4,鹿毛,20220412,ミタコトナイ,コウシュハマリン,コジロウスペシャル,鈴木恵,ばんえい,570,3-1-3-12,今井茂,ばんえい,（株）北西ファーム,（株）キューサンファーム,1025,,6-6-7-24,,,6-6-7-24,6-6-7-24,1:26.9,良1:47.6,1,1464,,,2
帯広ば,20260502,6,8,桃,8,コトブキラベンダー,牝,3,青毛,20230427,ホンベツイチバン,シャープ,シズユタカ,西将太,ばんえい,560,6-2-1-2,平田義,ばんえい,竹久克明,竹久克明,1022,,6-2-1-3,,,6-2-1-3,6-2-1-3,1:30.8,良1:42.5,3,1522,,,3
帯広ば,20260502,6,8,桃,9,シンザンパワー,牡,4,栗毛,20220215,アースパワー,アアモンドジャンヌ,ウンカイ,島津新,ばんえい,590,0-0-0-3,長部幸,ばんえい,新山正一郎,竹内正昭,946,,5-4-4-33,,,5-4-4-33,5-4-4-33,1:27.6,良1:35.1,8,2274,,,4
帯広ば,20260502,7,1,白,1,キタノユウシン,牡,8,鹿毛,20180509,カネサテンリュウ,ラッキーエンゼル,ツルマキシンザン,島津新,ばんえい,610,4-4-6-33,林　豊,ばんえい,高田克巳,川上隆一,1118,+8,14-23-21-89,,,14-23-21-89,14-23-21-89,1:31.9,良1:39.0,5,1480,,,2
帯広ば,20260502,7,2,黒,2,アルジャンノオー,牡,8,芦毛,20180324,レットダイヤ,"旭 灼","優 熔",西将太,ばんえい,610,0-1-1-15,中島敏,ばんえい,安藤浩太朗,岩渕寿和,1109,-10,15-16-13-105,,,15-16-13-105,15-16-13-105,1:25.1,良1:32.0,7,1551,,,1
帯広ば,20260502,7,3,赤,3,プラチナガール,牝,5,青毛,20210614,ニシキエーカン,プリンセスナナ,カネサブラック,臼杵龍,ばんえい,☆580,0-0-1-2,小林長,ばんえい,加藤勇,加藤勇,1137,+5,9-11-10-39,,,9-11-10-39,9-11-10-39,1:29.4,良1:30.1,6,1532,,,4
帯広ば,20260502,7,4,青,4,サカノハマナカ,牡,10,鹿毛,20160402,ハマナカキング,メイプル,キョクシンオー,船山蔵,ばんえい,610,7-13-11-47,田上忠,ばんえい,（株）大阪畜産,岩本国造,1146,+8,24-24-22-131,,,24-24-22-131,24-24-22-131,1:26.0,良1:26.0,2,1440,,,5
帯広ば,20260502,7,5,黄,5,アオノオサムライ,牡,5,栗毛,20210321,マルニセンプー,ウィナークイン,ウンカイ,中原蓮,ばんえい,☆600,0-2-1-4,金田勇,ばんえい,青山修,奥泉愛子,921,,9-7-7-47,,,9-7-7-47,9-7-7-47,1:29.1,良1:42.6,9,2016,,,9
帯広ば,20260502,7,6,緑,6,ホクトヒーロー,牡,9,鹿毛,20170412,ダイエイヒーロー,栄福姫,"一 番",鈴木恵,ばんえい,610,8-10-16-56,岩本利,ばんえい,末松秀義,斉藤栄五,1078,-15,17-24-22-124,,,17-24-22-124,17-24-22-124,1:25.0,良1:26.8,3,1466,,,6
帯広ば,20260502,7,7,橙,7,ホクセイマジェスタ,牡,5,青毛,20210321,フジダイビクトリー,ユキチタマル,ニシキダイジン,中村太,ばんえい,610,5-3-3-11,槻舘重,ばんえい,久保藤孝,（株）キューサンファーム,1066,+8,10-7-13-43,,,10-7-13-43,10-7-13-43,1:32.6,良1:32.6,8,1552,,,7
帯広ば,20260502,7,8,桃,8,ケンチャン,牡,5,鹿毛,20210520,イサムフジ,サンノハルミ,ダイヤキンショウ,金田利,ばんえい,610,0-0-0-0,岩本利,ばんえい,阿部健一,三宮久蔵,1097,-7,12-9-5-42,,,12-9-5-42,12-9-5-42,1:31.2,良1:51.9,4,1478,,,3
帯広ば,20260502,7,8,桃,9,ジェイヒッター,牡,5,栗毛,20210511,ジェイワン,セミニヨン,ヤマトゼンシン,阿部優,ばんえい,☆600,0-0-0-0,金山明,ばんえい,小森唯永,小森唯永,1144,,10-8-4-51,,,10-8-4-51,10-8-4-51,1:27.1,良1:27.1,1,1429,,,8
帯広ば,20260502,8,1,白,1,ホクショウハヤテ,牡,5,青毛,20210308,ホクショウメジャー,ニチリン,ウンカイ,吉田理,ばんえい,☆600,0-0-0-0,坂本東,ばんえい,井内紀子,村上昭一,1073,-5,6-10-17-42,,,6-10-17-42,6-10-17-42,1:46.1,良1:46.1,4,1473,,,9
帯広ば,20260502,8,2,黒,2,エクレール,牡,4,鹿毛,20220401,インフィニティー,ミチノクイン,キングファラオ,阿部武,ばんえい,600,4-7-4-14,坂本東,ばんえい,中川欣三,柏倉肇,976,-4,7-10-6-21,,,7-10-6-21,7-10-6-21,1:24.2,良1:46.9,1,1404,,,1
帯広ば,20260502,8,3,赤,3,ヤマノドラゴン,牡,4,栗毛,20220127,フジダイビクトリー,フジノハナヒメ,シャドライデン,渡来心,ばんえい,600,3-3-0-5,久田守,ばんえい,山下信一,（株）金福畜産,1127,+7,6-7-9-30,,,6-7-9-30,6-7-9-30,1:37.5,良1:44.7,9,2081,,,6
帯広ば,20260502,8,4,青,4,ミナミジュウジセイ,牡,7,栗毛,20190418,キョウエイボーイ,勝姫桜,カツテンリュウ,大友一,ばんえい,☆600,1-5-3-22,大友人,ばんえい,米澤保祐樹,若杉昌人,1095,0,9-25-14-78,,,9-25-14-78,9-25-14-78,1:24.4,良1:42.9,8,2066,,,2
帯広ば,20260502,8,5,黄,5,ショコラペガサス,牡,7,栗毛,20190502,インフィニティー,コトブキダイヤ,ウンカイ,阿部優,ばんえい,☆600,0-1-0-0,大友人,ばんえい,上村秀一,鈴木義尚,1000,-6,12-18-12-73,,,12-18-12-73,12-18-12-73,1:20.2,良1:25.4,3,1464,,,3
帯広ば,20260502,8,6,緑,6,ハゴロモグルービー,牡,5,栗毛,20210510,スピードフジ,フジノミユキ,ブラックジョージ,西謙一,ばんえい,610,7-9-9-31,西弘美,ばんえい,井上修,守屋弘子,1099,0,7-14-10-42,,,7-14-10-42,7-14-10-42,1:33.9,良1:33.9,5,1530,,,7
帯広ば,20260502,8,7,橙,7,サカノトウカイ,牡,7,鹿毛,20190224,キタノオーロラ,"天 空",トウカイシンザン,松本秀,ばんえい,610,6-9-9-46,田上忠,ばんえい,（株）大阪畜産,柬理義一,1094,+12,11-21-16-74,,,11-21-16-74,11-21-16-74,1:27.8,良1:40.1,6,1535,,,8
帯広ば,20260502,8,8,桃,8,ドラゴンボーイ,牡,10,鹿毛,20160429,キョウエイボーイ,スペシャルドラゴン,チカラスピード,島津新,ばんえい,610,15-10-7-70,林　豊,ばんえい,林翔一,亀田英二,1064,-10,25-16-20-140,,,25-16-20-140,25-16-20-140,0:54.5,良1:26.4,7,1547,,,5
帯広ば,20260502,8,8,桃,9,ホクショウサクラ,牝,4,鹿毛,20220101,ホクショウメジャー,ラヴァー,キタノドリーマー,臼杵龍,ばんえい,☆570,0-0-0-0,坂本東,ばんえい,井内紀子,村上昭一,1004,-7,8-5-6-28,,,8-5-6-28,8-5-6-28,1:36.2,良1:48.6,2,1409,,,4
帯広ば,20260502,9,1,白,1,マルゼンイチバン,牡,5,栗毛,20210411,ミンナノマルゼン,メトーフクヒメ,トカチタカラ,西将太,ばんえい,610,3-2-3-10,西弘美,ばんえい,矢藤秀樹,鈴木忠,1065,-3,8-12-10-40,,,8-12-10-40,8-12-10-40,1:28.9,良1:32.5,3,1389,,,10
帯広ば,20260502,9,2,黒,2,タカシオ,牡,4,鹿毛,20220427,コウシュハウンカイ,ヨシノシラギク,インフィニティー,大友一,ばんえい,☆590,2-1-0-4,大友人,ばんえい,米澤保祐樹,吉仲竹男,1044,+17,9-9-6-25,,,9-9-6-25,9-9-6-25,1:31.0,良1:47.4,4,1391,,,2
帯広ば,20260502,9,3,赤,3,アアモンドオーザン,セン,7,鹿毛,20190408,レットダイヤ,ブルーダイヤモンド,マツカゼキング,赤塚健,ばんえい,610,1-3-5-18,大友人,ばんえい,下内美繪子,島崎幸喜,1068,+12,15-12-14-81,,,15-12-14-81,15-12-14-81,1:21.4,良1:45.4,9,2022,,,4
帯広ば,20260502,9,4,青,4,ホクセイレクサス,セン,5,栗毛,20210111,フジダイビクトリー,ピュアリーモモ,アサヒセンショウ,菊池一,ばんえい,610,1-0-0-1,藤本匠,ばんえい,（株）北西ファーム,加藤芳枝,1077,-1,10-9-8-38,,,10-9-8-38,10-9-8-38,1:38.1,良1:38.1,2,1373,,,3
帯広ば,20260502,9,5,黄,5,アアモンドノサップ,セン,6,栗毛,20200410,アコガレ,アアモンドアカネ,ハヤノダイリン,阿部優,ばんえい,☆600,3-2-2-3,村上慎,ばんえい,下内美繪子,下内節子,1063,-15,15-10-6-60,,,15-10-6-60,15-10-6-60,1:37.7,良1:55.1,8,1532,,,5
帯広ば,20260502,9,6,緑,6,サクラダイヤモンド,牡,9,鹿毛,20170407,レットダイヤ,桜誉姫,ツルマキシンザン,臼杵龍,ばんえい,☆600,2-2-0-2,村上慎,ばんえい,下内美繪子,岩渕寿和,1112,+7,17-20-18-119,,,17-20-18-119,17-20-18-119,0:53.9,良1:45.5,10,2048,,,9
帯広ば,20260502,9,7,橙,7,カワノブレーザー,牡,4,栗毛,20220424,ホリセンショウ,"初 姫",クリフジ,中原蓮,ばんえい,☆590,6-1-2-5,金山明,ばんえい,川口晃司,互野居衣夫,1037,-4,11-8-6-23,,,11-8-6-23,11-8-6-23,1:28.7,良1:28.7,1,1312,,,1
帯広ば,20260502,9,7,橙,8,サカノヒメリュウ,牝,5,鹿毛,20210515,テンカムソウ,サカノヒカルカゲ,ニシキダイジン,松本秀,ばんえい,590,11-7-4-41,田上忠,ばんえい,（株）大阪畜産,稲場洋二,1091,-13,11-9-5-45,,,11-9-5-45,11-9-5-45,1:25.0,良1:27.3,6,1421,,,8
帯広ば,20260502,9,8,桃,9,ビール,牡,7,栗毛,20190122,テンカムソウ,トロピカルロゼ,エビスタイシヨウ,菅原響,ばんえい,☆600,0-0-2-4,西邑春,ばんえい,石橋強,株式会社帯広有機佐々木啓文,1070,-3,6-28-24-62,,,6-28-24-62,6-28-24-62,1:16.7,良1:33.9,7,1421,,,7
帯広ば,20260502,9,8,桃,10,フジノボーイ,牡,8,鹿毛,20180321,キョウエイボーイ,"菊 香",カツテンリュウ,鈴木恵,ばんえい,610,13-13-11-59,槻舘重,ばんえい,鈴木長一郎,川口和彦,1112,+6,17-17-19-101,,,17-17-19-101,17-17-19-101,1:06.6,良1:32.6,5,1400,,,6
